branching_types,n_end,k,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,9,64.0,(-1.235590871313827-2.010091499059266j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,90.50966799187809,(0.9853679072445062-0.47142343235664874j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,128.0,(0.9773611165491893-0.6839090299376814j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,181.01933598375618,(-0.8088595629072195+1.143019998385172j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,256.0,(-0.20114613898408698+1.6513324865727905j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,362.03867196751236,(1.3155638410034771+0.882926465210713j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,512.0,(1.2370267251776914-0.18418746054774693j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,724.0773439350247,(0.047482512743451125-1.5583834968734631j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,1.0,(-1.355933362424848-0.657813448347546j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,1.4142135623730951,(-0.8771443355552712-2.1880003374610064j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,2.0,(1.2150327254138669-1.1253401273792647j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,2.8284271247461903,(0.9594058899594435-0.175389183373824j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,4.0,(1.298098983895784+0.48605502231558345j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,5.656854249492381,(-1.0989333976769298+0.33838982822390956j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,8.0,(0.7840605915181277-2.26656208181243j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,11.313708498984761,(-0.8110454308731889+1.435699139999056j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,16.0,(0.8881189720651603+0.15607691664900455j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,22.627416997969522,(1.069503453999399+0.1703716066229643j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,32.0,(-1.1374129433417566-0.13541203122584677j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,10,45.254833995939045,(-1.522994412989639-2.2458081032546544j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
