branching_types,n_end,uscat,k,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
ba,17,(0.8337066076899953+0.565189995661847j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(-0.802070650030541+0.42790990292837305j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(0.23412762499141856-1.1952427970084396j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(-0.49509994170591265+1.0600275136229484j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(0.871468996436231+0.0786980725401605j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,17,(0.8936006025520898+0.31391480208959116j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(-0.7413322408396278-0.669660387678302j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(-0.3076397459131939-1.1108611673830944j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(0.5422183157079926-0.890259210563501j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(0.7749601603704969-0.22878976135777984j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(0.8337066076899614+0.5651899956618588j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(-0.8020706500351306+0.4279099029261121j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(0.2341276134570053-1.1952427912270798j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(-0.4950619334008989+1.0601175525826054j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(0.8049043231917002+0.15077746725325322j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,18,(0.9014090887749133+0.2952909141024314j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(-0.7413322408396263-0.6696603876783019j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(-0.30763974591319204-1.110861167383093j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(0.5422183157079921-0.8902592105634984j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(0.7749601603704948-0.2287897613577795j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(0.8337066076899576+0.5651899956618581j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(-0.8020706500355153+0.4279099029262188j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(0.23412761345943284-1.1952427901033862j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(-0.49505137228107404+1.0601106808751968j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(0.8458508498114272+0.15729391045654j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,19,(0.6548043566521845+0.2916483528596966j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(-0.7413322408396271-0.669660387678302j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(-0.30763974591319293-1.1108611673830937j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(0.5422183157079923-0.8902592105634994j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(0.7749601603704959-0.22878976135777968j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,20,(0.8337066076899577+0.5651899956618593j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
